Latitude,Longitude
42.685012,9.446183
42.678864,9.430446
42.685012,9.446183
42.658953,9.436626
42.240565,8.6349
41.94991,8.770615
42.544441,8.753425
42.871132,9.47759
41.942812,8.755127
,
41.584657,9.281072
106,42.507142
41.590406,9.279332
105,41.931053
42.606061,9.438245
41.94991,8.770615
41.921509,8.794898
41.94991,8.770615
41.567096,9.273631
42.684916,9.445359
41.924529,8.738851
41.94991,8.770615
41.934175,8.749762
,42.685119
42.88852,9.473145
41.559912,9.290806
42.612651,9.441223
41.393666,9.165079
41.930498,8.73309
42.001201,9.05102
,10
,
,
,
,
,
,
,
,
,
42.723001,9.454438
193,41.952356
193,41.952356
41.816359,9.40131
41.621021,9.345581
41.816359,9.40131
,
193,41.952356
42.703937,9.45126
41.927612,8.759772
41.620002,8.972777
41.911229,8.714755
,
,
41.9416,8.747858
41.924222,8.737812
42.699596,9.449243
42.678864,9.430446
42.001201,9.05102
,
,
,20
,
,
,
,2
,
,41.915976
41.940197,8.741508
41.929643,8.737892
,
41.94913,8.733475
42.001201,9.05102
41.816359,9.40131
41.588872,9.270796
42.58939,9.435243
41.929643,8.737892
41.932227,8.737834
41.94991,8.770615
41.620002,8.972777
41.915976,8.730902
41.942812,8.755127
,
41.94991,8.770615
41.913906,8.725057
,
41.954598,8.765768
41.942812,8.755127
,
41.931373,8.724652
41.669966,8.904443
,
,42.374854
41.924222,8.737812
42.606061,9.438245
41.924222,8.737812
,
42.483328,9.488377
42.335169,9.018999
42.352405,9.535096
42.727411,9.458797
42.678864,9.430446
42.671164,9.429127
42.696262,9.447458
42.698699,9.446526
42.678864,9.430446
42.698157,9.449962
42.652802,9.07182
42.319265,9.541167
41.892938,8.805919
193,41.952356
,42.690891
42.168273,8.949488
41.706482,9.328707
,42.374854
42.483328,9.488377
41.949214,8.754066
42.467532,9.45957
41.927619,8.728715
,
,
,
,
,107
,
42.685012,9.446183
,42.001201
41.938343,8.754618
42.606061,9.438245
41.924222,8.737812
41.924222,8.737812
,
,
41.601883,9.276343
42.606061,9.438245
42.703272,9.444104
42.674572,9.438387
,41.933257
41.934973,8.748425
,
41.590811,9.208254
42.612651,9.441223
,41.924222
42.705328,9.44745
,
,
,
,
,
,
41.928987,8.712092
41.588872,9.270796
41.567096,9.273631
42.678864,9.430446
,
,
41.929643,8.737892
41.921292,8.739422
,42.66471
193,41.952356
41.938971,8.750755
41.927612,8.759772
42.606061,9.438245
41.925416,8.736987
41.601883,9.276343
41.588952,9.283996
42.685012,9.446183
42.678864,9.430446
42.673499,9.445244
,
,
,
42.001201,9.05102
42.643699,9.456479
,
,
41.921509,8.794898
41.938971,8.750755
41.915976,8.730902
41.925487,8.737654
41.949562,8.771352
41.544528,9.286195
,41.917873
113,41.932132
41.9416,8.747858
41.911229,8.714755
41.934175,8.749762
,
41.94991,8.770615
41.865865,9.397757
,
,
,
,
42.200352,9.538676
41.9416,8.747858
41.9379,8.739741
,
,
193,41.952356
,
42.001201,9.05102
,
,
,
,
,
42.76366,9.467672
42.722148,9.455111
41.928183,8.737256
41.94991,8.770615
42.304392,9.151464
42.53665,8.721184
,
42.674572,9.438387
41.942812,8.755127
41.931651,8.738345
,42.68859
42.304392,9.151464
41.699899,8.842657
42.669306,9.443368
41.88342,8.787902
,
42.612651,9.441223
42.690771,9.445336
,42.693729
,42.678864
,
193,41.952356
42.692163,9.442507
42.685012,9.446183
,
,41.926188
41.9416,8.747858
,42.68859
42.001201,9.05102
42.679443,9.43918
,
,
41.918131,8.737066
41.924901,8.734358
41.94991,8.770615
41.94991,8.770615
,
3965100,
,
,
42.690891,9.448408
42.707098,9.45285
41.94991,8.770615
41.94991,8.770615
41.942812,8.755127
41.620002,8.972777
,
42.301296,9.154278
42.44643,9.51191
41.956563,8.804919
,
,
,
,
193,41.952356
42.152796,8.732502
42.678864,9.430446
,
41.918951,8.877304
41.88342,8.787902
41.97985,8.83419
41.588872,9.270796
,42.66471
,
41.48309,9.237502
41.938971,8.750755
,41.909089
,
42.447421,9.517436
41.750361,9.404572
,464
,
,
,
,42.693729
,42.7041
41.942812,8.755127
41.9379,8.739741
41.94913,8.733475
41.94991,8.770615
41.94991,8.770615
41.94991,8.770615
41.942812,8.755127
,
,
,
,
,
,
41.9379,8.739741
42.671164,9.429127
,42.374854
,42.374854
,41.934175
41.620002,8.972777
,41.942812
41.931651,8.738345
,1729
,
41.588872,9.270796
,42.374854
42.707098,9.45285
42.606061,9.438245
41.924529,8.738851
,
,
,
,
,
,
41.585799,9.306243
41.615811,9.258315
42.462444,9.205602
42.127569,8.874062
42.112662,9.549057
41.928491,8.777327
41.812736,8.909222
,42.671164
42.678864,9.430446
41.631573,9.319486
41.636525,9.345205
41.931651,8.738345
41.924901,8.734358
,
,
,
41.9416,8.747858
41.942812,8.755127
41.9379,8.739741
42.001201,9.05102
,42.679443
,
41.620002,8.972777
41.920582,8.733724
41.816359,9.40131
41.392971,9.165284
41.924222,8.737812
41.924222,8.737812
42.690891,9.448408
42.707098,9.45285
41.567096,9.273631
,42.685119
,
,
,
,
,
,
,42.671164
42.694676,9.448268
42.019006,9.348946
41.954966,8.781843
42.305386,9.15096
42.704866,9.452243
42.001201,9.05102
,
42.545063,9.443981
41.392971,9.165284
42.742826,9.460771
41.672227,8.905218
42.606061,9.438245
42.200352,9.538676
41.934175,8.749762
,
,
,
41.9334,8.742952
41.949562,8.771352
193,41.952356
,
,42.674572
,
,
,
41.924222,8.737812
41.911229,8.714755
41.949581,8.757769
41.938971,8.750755
42.663507,9.439116
41.703072,8.839772
,42.704866
41.949562,8.771352
,
41.918398,8.739632
41.94913,8.733475
,
,9
,
,
41.935559,8.834641
41.928987,8.712092
42.698157,9.449962
,42.690891
193,41.952356
,42.690891
41.94991,8.770615
,
42.678864,9.430446
42.690891,9.448408
,
,
42.699596,9.449243
,41.968945
41.911229,8.714755
41.934175,8.749762
41.924914,8.643357
41.750361,9.404572
,42.690891
,42.374854
,42.68859
41.915976,8.730902
41.915986,8.726778
42.307235,9.15054
41.757392,8.734922
42.705426,9.429249
42.704866,9.452243
,
,
,468
,
,
,
,
,
,
,
41.9379,8.739741
41.949562,8.771352
42.698157,9.449962
42.606061,9.438245
41.920582,8.733724
41.94991,8.770615
41.916766,8.737167
41.94991,8.770615
41.949581,8.757769
41.954966,8.781843
132,42.678524
41.942812,8.755127
41.924222,8.737812
42.958039,9.453722
42.637871,9.357527
41.902598,8.826125
41.599468,9.268921
42.055225,9.432864
41.61788,9.302597
42.682005,9.432212
42.736992,9.461436
193,41.952356
42.698548,9.449328
,
42.678864,9.430446
42.678864,9.430446
,
,42.690891
,42.001201
,42.374854
41.407051,9.214032
41.586465,9.290909
41.395533,9.156263
,41.9416
41.934175,8.749762
193,41.952356
42.678864,9.430446
42.707098,9.45285
42.697167,9.444048
41.579991,9.271368
42.422932,9.524279
41.94991,8.770615
41.938343,8.754618
41.934175,8.749762
,
41.620002,8.972777
41.941207,8.757128
,41.926429
41.924222,8.737812
42.707098,9.45285
42.684906,9.44041
42.539951,9.492583
,
,
,
,
,42.001201
41.395533,9.156263
42.612651,9.441223
107,42.551037
42.465531,9.205972
41.942812,8.755127
,
,
,
,
,
41.620002,8.972777
41.933767,8.723233
41.9334,8.742952
42.216158,9.522578
42.712167,9.452099
42.678864,9.430446
,
,
,41.942812
,41.924222
41.928987,8.712092
41.90167,8.812639
42.694676,9.448268
42.699038,9.436229
42.606061,9.438245
41.924222,8.737812
41.94622,8.763338
193,41.952356
41.588872,9.270796
41.935253,8.745669
41.90167,8.812639
41.938971,8.750755
41.920582,8.733724
,
41.942812,8.755127
41.942812,8.755127
41.94991,8.770615
41.924222,8.737812
42.677938,9.438551
,
42.678864,9.430446
42.690891,9.448408
42.684906,9.44041
42.707098,9.45285
42.684166,9.445463
42.531976,9.398269
42.678864,9.430446
,
,
41.588872,9.270796
41.94991,8.770615
41.938971,8.750755
41.94991,8.770615
41.954966,8.781843
41.9334,8.742952
41.936826,8.749772
42.703642,9.453179
,
,
42.678864,9.430446
41.954966,8.781843
41.94991,8.770615
,464
,
,
,
,
,
,42.690891
,42.690891
42.44593,9.519519
,
,
,
,107
,
,
41.94991,8.770615
42.606061,9.438245
,41.938343
41.942812,8.755127
41.631664,9.265821
41.928987,8.712092
,42.685119
42.308382,9.151079
41.947541,8.763442
41.929643,8.737892
41.934175,8.749762
41.924222,8.737812
,41.9334
,
,
,
,
,
,
,
,
,42.727411
,42.674572
,
,
,
,
,
42.690891,9.448408
42.705328,9.44745
41.94991,8.770615
41.924222,8.737812
41.915976,8.730902
41.934175,8.749762
41.942812,8.755127
,42.690891
193,41.952356
41.554084,9.270037
42.390191,9.530998
41.620002,8.972777
42.678864,9.430446
42.686811,9.428047
2598,42.001201
41.94913,8.733475
41.927546,8.739857
41.94991,8.770615
41.911229,8.714755
,
42.289109,9.131753
42.813004,9.464571
193,41.952356
,42.690891
193,41.952356
42.699038,9.436229
42.001201,9.05102
42.694676,9.448268
193,41.952356
42.703642,9.453179
42.697167,9.444048
42.531976,9.398269
41.620002,8.972777
,42.374854
41.928987,8.712092
,
,
42.116473,9.512736
42.698157,9.449962
41.590267,9.276337
193,41.952356
42.055225,9.432864
41.984801,9.400852
42.871132,9.47759
,
,
,
,
42.678864,9.430446
,41.924222
,
,
41.834154,9.373831
42.697937,9.443505
41.938971,8.750755
41.94991,8.770615
41.924222,8.737812
41.9416,8.747858
41.949562,8.771352
41.938971,8.750755
41.9416,8.747858
,
42.698157,9.449962
41.915976,8.730902
41.914124,8.726504
41.931373,8.724652
41.9379,8.739741
42.001201,9.05102
42.001201,9.05102
41.567096,9.273631
41.584657,9.281072
42.374551,9.529998
41.584657,9.281072
,
41.9334,8.742952
,42.693729
,
,42.690891
,
41.584657,9.281072
42.705426,9.429249
,
42.673248,9.43914
,8
,
,
41.750361,9.404572
,7
,
,
41.9379,8.739741
41.911229,8.714755
41.9379,8.739741
,85
,
,20
41.94991,8.770615
42.055225,9.432864
42.874389,9.464905
193,41.952356
,
42.693729,9.450449
,42.685119
41.9379,8.739741
41.924222,8.737812
,
41.942812,8.755127
,
42.606061,9.438245
41.934175,8.749762
41.920582,8.733724
41.924222,8.737812
,
