Latitude,Longitude
47.44495,-2.29906
47.27632,-2.41884
47.7064482,-0.7959049
47.9839581,0.2506153
,53127
72158,48.0532209
47.29708,-2.51488
48.4161632,-0.8165364
47.12099,-2.09276
47.192257,-0.292758
47.24729,-2.16719
48.3104772,-0.6852675
47.9748538,0.2200161
47.99893,0.20617
47.60187,-0.54432
47.956751,0.226448
47.202018,-1.577053
47.43701,-2.19382
47.6248508,-0.0705333
47.25862,-2.418
47.367345,-2.005237
48.3600783,-0.0776124
48.3600783,-0.0776124
47.5415559,-0.104058
48.0820006,-0.7917636
47.5415559,-0.104058
47.18435,-2.15186
49205,47.7565193
48.3678576,-0.5177766
47.6638618,-0.5673825
48.18289,0.64892
48.1830688,0.64942425
48.18289,0.64892
47.5410397,-0.1012308
47.6275721,-0.1495052
47.13583,-2.192
48.2569282,-0.496936
47.33678,-1.727313
47.29421,-2.51382
48.185934,0.655979
48.1742185,0.42289967
47.81867,0.34003
47.02955,-1.97973
47.11479,-2.0982
46.98352,-1.83661
47.42533,-0.52584
47.81778,-0.68032
47.81778,-0.68032
47.6008858,-0.6839068
47.60286,-0.68784
47.60286,-0.68784
47.60286,-0.68784
47.3270316,-1.2605635
72181,48.0083543
47.3901855,-0.8642604
47.11303,-2.13082
47.2378741,-1.3486815
47.0923589,-1.0622545
47.7582734,-0.4912748
47.16512,-2.1641
48.3918005,-0.6170775
47.12226,-1.91441
47.0570219,-0.878235
47.874,-0.52274
47.22882,-2.17384
47.13858,-2.1912
48.1218311,-0.7182456
47.5118313,0.11492713
47.40627,-2.35591
47.8333004,0.7532191
48.0404122,0.53560237
48.12418,-0.01733
48.13784,0.79544
48.1393004,-0.5605149
47.51604,-2.041
47.43575,-2.19406
47.36344,-2.34794
47.9627957,-0.2280938
47.257106,-0.07231
48.0482299,0.419952
47.3352257,-1.697779
47.24697,-2.16844
47.740194,-1.172892
47.4688906,-1.7588316
47.11497,-2.09774
47.4375055,-1.4953613
47.20758,-2.044
47.16326,-2.16056
48.0972201,-0.3494795
48.0756,-0.77167
47.15377,-1.83156
47.017186,-1.0968213
47.3898051,-0.8641968
47.11267,-2.13242
47.27472,-2.33404
47.16083,-1.26577
47.17153,-2.16518
47.377177,-0.611478
47.17396,-2.16443
48.40565,0.32416
48.0007657,0.19202859
47.2726,-2.42439
47.9941677,0.2363504
47.04238,-1.95201
47.34746,-2.51126
47.20087,-1.92081
47.3397906,-1.5254694
47.44477,-2.29898
47.31749,-1.73481
48.13784,0.79544
47.3136946,-0.4602744
47.338939,-0.7185259
47.9938294,-0.4004112
48.00717,0.19862
47.29432,-2.51191
47.5871548,-0.3585841
47.6206462,-0.332347
47.6210616,-0.5070614
47.57429,-0.35885
47.52434,-0.2802
48.25478,-0.49797
47.47446,-0.54597
47.1044,-1.86862
47.95973,0.20599
46.99228,-1.81888
48.07175,-0.76646
47.8263921,-0.7070402
47.11495,-2.0983
47.32085,-0.92585
48.05969,-0.74421
49331,47.703086
48.0185765,0.1931185
47.0983526,-1.3846744
47.38179,-2.54691
47.34847,-2.51176
47.479059,-1.511875
47.354491,-0.765661
47.3516079,-0.7637704
47.2808,-2.42356
47.36887,-0.2973045
47.5212415,-1.7480435
47.25951,-2.42433
47.27724,-2.4808
47.40405,-2.49937
47.27662,-2.42754
47.18434,-2.15186
47.3386012,-0.7865582
48.1798881,0.64897179
48.180346,0.64880013
48.2462919,-0.783792
47.396948,-0.451334
48.3507586,-0.0760983
48.0482299,0.419952
47.11451,-2.09858
48.4401717,-1.0591041
49007,47.46903
48.22096,0.59282
46.98893,-1.81588
46.98893,-1.81588
47.5723,-0.47507
47.252349,-1.3705636
47.7031222,-0.9300132
47.3135078,-0.6105016
48.1849345,-0.1259701
48.1689569,-0.5489559
44055,47.28334
48.1765449,-0.786851
44049,47.29205
47.8269,-0.70561
48.0647461,0.72737015
48.18342,-0.12749
47.973317,0.548873
48.0122949,0.45574599
47.39962,-2.30575
47.9839581,0.2506153
47.6286965,-0.7088769
47.24802,-2.16223
47.19496,-2.15253
48.0771357,0.30195166
